Vitamin,Recommended Frequency,Best Time to Take,Fat Soluble or Water Soluble,Can be Taken on Empty Stomach?,Recommended Daily Intake,Benefits,Deficiency Effects,Natural Remedies
Vitamin A,Daily,With food in the morning,Fat-soluble,No,"700-900 mcg","Supports vision, immune function, reproduction, and cellular communication.","Night blindness, dry eyes, immune deficiencies.","liver, fish liver oils, milk, cheese, carrots, sweet potatoes, red pepper, papaya apricots, cantaloupe, kale, spinach, turnip, butter, margarine."
Vitamin B1,Daily,With meals,Water-soluble,Yes,"1.0-1.2 mg","Energy metabolism, nerve function.","Beriberi, fatigue, nerve damage.","nuts, seeds, fish, eggs, legumes (dried beans, peas and lentils)"
Vitamin B2,Daily,With meals,Water-soluble,Yes,"1.0-1.3 mg","Energy production, skin and eye health.","Skin disorders, sore throat, swollen tongue.","fish, eggs,organ meats, milk and native wild greens."
Vitamin B3,Daily,With meals,Water-soluble,Yes,"14-16 mg","Digestive health, skin, nerve function.","Pellagra (diarrhea, dermatitis, dementia).","maize with ash (nixtamalization), meat (fish, poultry, all kinds), nuts, eggs"
Vitamin B5,Daily,With meals,Water-soluble,Yes,"5 mg","Hormone and cholesterol production, metabolism.","Fatigue, numbness, muscle cramps.",plants like wild rice and seeds.
Vitamin B6,Daily,With meals,Water-soluble,Yes,"1.2-1.3 mg ","Brain development, immune function, metabolism.","Anemia, skin issues, depression."," nuts, fish, squash."
Vitamin B7,Daily,With or without food,Water-soluble,Yes,"30 mcg","Hair, skin, nails, metabolism.","Hair loss, skin rashes, neurological symptoms.", "plant roots, salmon, eggs."
Vitamin B9,Daily,With meals or in morning,Water-soluble,Yes,"400 mcg","DNA synthesis, pregnancy health, red blood cells.","Birth defects, anemia."," wild berries, beans, grain based products, and herbs."
Vitamin B12,Daily,"With food, preferably morning",Water-soluble,No,"2.4 mcg","Nerve tissue health, red blood cell production.","Anemia, nerve damage, fatigue.","organ meats, fish, seaweed, milk, yogurt, cheese, fortified soy beverages."
Vitamin C,Daily,Morning or after meals,Water-soluble,Yes,"75-90 mg","Immune function, antioxidant, skin health.","Scurvy, fatigue, weak immunity."," pine needle tea, wild berries, Citrus fruits, Strawberries, tomatoes, broccoli, cauliflower, cabbage, fortified juices."
Vitamin D,Daily,Morning with fatty meal,Fat-soluble,No,"15 mcg","Promotes calcium absorption, bone health, and immune support.","Rickets, osteomalacia, weak bones."," seal oil, fish, sun exposure rituals."
Vitamin E,Daily,"With food, any time",Fat-soluble,Yes,"15 mg","Antioxidant, protects cells from oxidative damage.","Nerve and muscle damage, weakened immune system.","spruce needles, oils, nuts, sunflower seeds, wheat germ oil"
Vitamin K,Daily,With a meal containing fat,Fat-soluble,No,"90-120 mcg","Blood clotting, bone metabolism.","Excessive bleeding, osteoporosis.","stinging nettle, spruce tips, spinach, turnip greens, kale, brussels sprouts, broccoli."
Calcium,Daily,With food,Neither,Yes(Calcium citrate),"1000-1200 mg","Supports bone and teeth health, muscle function, nerve signaling, blood clotting, and hormone release","Osteoporosis, Rickets, Muscle spasms, Depression","Dairy (milk, yogurt, cheese), canned sardines/salmon (with bones), tofu"
