Vitamin,Recommended Frequency,Best Time to Take,Fat Soluble or Water Soluble,Can be Taken on Empty Stomach?
Vitamin A,Daily,With food in the morning,Fat-soluble,No
Vitamin B1 (Thiamine),Daily,With meals,Water-soluble,Yes
Vitamin B2 (Riboflavin),Daily,With meals,Water-soluble,Yes
Vitamin B3 (Niacin),Daily,With meals,Water-soluble,Yes
Vitamin B5 (Pantothenic acid),Daily,With meals,Water-soluble,Yes
Vitamin B6 (Pyridoxine),Daily,With meals,Water-soluble,Yes
Vitamin B7 (Biotin),Daily,With or without food,Water-soluble,Yes
Vitamin B9 (Folate),Daily,With meals or in morning,Water-soluble,Yes
Vitamin B12 (Cobalamin),Daily,"With food, preferably morning",Water-soluble,No
Vitamin C,Daily,Morning or after meals,Water-soluble,Yes
Vitamin D,Daily,Morning with fatty meal,Fat-soluble,No
Vitamin E,Daily,"With food, any time",Fat-soluble,Yes
Vitamin K,Daily,With a meal containing fat,Fat-soluble,No
